City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,kruisfontein,-34.0,24.73,55.06,93,0,6.2,ZA,1595292932
88,roald,62.58,6.13,51.8,81,100,11.41,NO,1595292932
89,keti bandar,24.14,67.45,85.73,77,100,22.68,PK,1595292766
90,harlingen,26.19,-97.7,89.6,59,1,11.41,US,1595292933
91,bengkulu,-3.8,102.27,78.31,83,59,4.61,ID,1595292760
92,lebu,-37.62,-73.65,50.58,83,100,12.1,CL,1595292933
93,karpathos,35.51,27.21,76.19,75,0,17.45,GR,1595292933
94,butaritari,3.07,172.79,83.03,67,100,2.35,KI,1595292934
95,manoel urbano,-8.84,-69.26,76.48,72,48,0.29,BR,1595292934
96,port alfred,-33.59,26.89,58.35,72,0,3.2,ZA,1595292934
97,xuzhou,34.18,117.16,78.69,76,100,5.64,CN,1595292934
98,oktyabrskiy,54.48,53.47,58.55,89,0,2.13,RU,1595292934
99,lata,40.16,-8.33,66.99,70,92,4.12,PT,1595292935
100,jiangyou,31.77,104.72,69.06,88,100,2.68,CN,1595292935
101,hermanus,-34.42,19.23,59.0,59,4,1.01,ZA,1595292935
102,brun,39.53,46.31,67.41,51,0,4.97,AM,1595292935
103,bredasdorp,-34.53,20.04,59.0,93,72,6.93,ZA,1595292935
104,kaitangata,-46.28,169.85,53.6,66,0,5.57,NZ,1595292935
105,te anau,-45.42,167.72,46.99,84,81,5.21,NZ,1595292936
106,canto do buriti,-8.11,-42.94,73.51,60,100,4.74,BR,1595292936
107,kodiak,57.79,-152.41,75.2,44,1,13.87,US,1595292891
108,biltine,14.53,20.92,75.34,72,41,5.68,TD,1595292936
109,ubatuba,-23.43,-45.07,69.51,56,0,3.58,BR,1595292895
110,upernavik,72.79,-56.15,48.2,54,0,8.28,GL,1595292936
111,barcelos,41.54,-8.62,73.99,100,0,3.06,PT,1595292936
112,takoradi,4.88,-1.76,75.22,92,99,6.82,GH,1595292937
113,tayu,-6.54,111.05,80.65,75,6,8.39,ID,1595292937
114,dikson,73.51,80.55,39.76,96,100,13.02,RU,1595292937
115,xining,36.62,101.77,62.17,53,93,3.33,CN,1595292937
116,batabano,22.72,-82.29,82.4,74,20,9.17,CU,1595292937
117,popondetta,-8.75,148.25,86.43,59,16,3.6,PG,1595292937
118,ronne,55.1,14.71,57.2,76,9,4.7,DK,1595292938
119,zigos,41.02,24.38,71.01,73,0,3.0,GR,1595292938
120,sao filipe,14.9,-24.5,76.01,83,61,8.19,CV,1595292938
121,georgetown,5.41,100.34,80.6,94,20,2.24,MY,1595292833
122,itoman,26.12,127.67,87.8,74,40,4.7,JP,1595292852
123,bathsheba,13.22,-59.52,82.4,69,20,16.11,BB,1595292938
124,lompoc,34.64,-120.46,68.0,64,0,17.22,US,1595292653
125,benguela,-12.58,13.41,66.74,74,0,3.62,AO,1595292939
126,zhanaozen,43.3,52.8,81.93,23,0,11.7,KZ,1595292939
127,alofi,-19.06,-169.92,82.4,83,75,9.17,NU,1595292939
128,pangody,65.85,74.49,55.72,70,100,7.9,RU,1595292939
129,jamestown,42.1,-79.24,73.99,56,1,8.05,US,1595292940
130,balakhninskiy,58.01,114.28,51.71,88,100,4.59,RU,1595292940
131,avarua,-21.21,-159.78,78.8,74,100,19.46,CK,1595292940
132,deputatskiy,69.3,139.9,74.44,49,50,6.17,RU,1595292760
133,pevek,69.7,170.31,46.89,59,0,2.59,RU,1595292940
134,beyneu,45.32,55.2,81.34,26,0,5.37,KZ,1595292940
135,nizwa,22.93,57.53,83.17,63,100,1.72,OM,1595292941
136,muromtsevo,56.37,75.24,55.45,82,4,9.22,RU,1595292941
137,thompson,55.74,-97.86,66.2,72,75,5.82,CA,1595292941
138,san luis,-33.3,-66.34,48.15,75,35,9.71,AR,1595292941
139,nome,64.5,-165.41,55.99,81,90,11.41,US,1595292941
140,arraial do cabo,-22.97,-42.03,70.54,85,0,18.57,BR,1595292941
141,orneta,54.11,20.13,58.26,94,37,7.36,PL,1595292941
142,ambilobe,-13.2,49.05,62.87,74,34,3.36,MG,1595292942
143,merauke,-8.47,140.33,79.95,75,42,9.64,ID,1595292942
144,mont-joli,48.58,-68.19,77.0,50,20,24.16,CA,1595292718
145,half moon bay,37.46,-122.43,77.0,56,5,13.87,US,1595292942
146,mnogovershinnyy,53.94,139.92,54.82,91,100,10.0,RU,1595292943
147,madimba,-10.4,40.33,69.3,81,35,10.65,TZ,1595292943
148,vao,-22.67,167.48,68.59,64,100,11.99,NC,1595292943
149,tymovskoye,50.85,142.66,67.53,72,100,7.92,RU,1595292778
150,saskylakh,71.92,114.08,58.75,47,99,9.84,RU,1595292943
